Series_ID,Series_Name,Year,Period,Label,Value
LNU04032241,Leisure and Hospitality,2020,M02,2020 Feb,5.7
LNU04032241,Leisure and Hospitality,2020,M03,2020 Mar,8.1
LNU04032241,Leisure and Hospitality,2020,M04,2020 Apr,39.3
LNU04032241,Leisure and Hospitality,2020,M05,2020 May,35.9
LNU04032241,Leisure and Hospitality,2020,M06,2020 Jun,28.9
LNU04032241,Leisure and Hospitality,2020,M07,2020 Jul,25
LNU04032241,Leisure and Hospitality,2020,M08,2020 Aug,21.3
LNU04032241,Leisure and Hospitality,2020,M09,2020 Sep,19
LNU04032241,Leisure and Hospitality,2020,M10,2020 Oct,16.3
LNU04032241,Leisure and Hospitality,2020,M11,2020 Nov,15
LNU04032241,Leisure and Hospitality,2020,M12,2020 Dec,16.7
LNU04032241,Leisure and Hospitality,2021,M01,2021 Jan,15.9
LNU04032241,Leisure and Hospitality,2021,M02,2021 Feb,13.5
LNU04032241,Leisure and Hospitality,2021,M03,2021 Mar,13
LNU04032241,Leisure and Hospitality,2021,M04,2021 Apr,10.8
LNU04032241,Leisure and Hospitality,2021,M05,2021 May,10.1
LNU04032241,Leisure and Hospitality,2021,M06,2021 Jun,10.9
LNU04032232,Manufacturing,2018,M01,2018 Jan,3.4
LNU04032232,Manufacturing,2018,M02,2018 Feb,3.6
LNU04032232,Manufacturing,2018,M03,2018 Mar,3.3
LNU04032232,Manufacturing,2018,M04,2018 Apr,3.3
LNU04032232,Manufacturing,2018,M05,2018 May,3.4
LNU04032232,Manufacturing,2018,M06,2018 Jun,3.1
LNU04032232,Manufacturing,2018,M07,2018 Jul,3.8
LNU04032232,Manufacturing,2018,M08,2018 Aug,3.2
LNU04032232,Manufacturing,2018,M09,2018 Sep,3.5
LNU04032232,Manufacturing,2018,M10,2018 Oct,3.2
LNU04032232,Manufacturing,2018,M11,2018 Nov,2.9
LNU04032232,Manufacturing,2018,M12,2018 Dec,2.8
LNU04032232,Manufacturing,2019,M01,2019 Jan,3.3
LNU04032232,Manufacturing,2019,M02,2019 Feb,2.9
LNU04032232,Manufacturing,2019,M03,2019 Mar,2.9
LNU04032232,Manufacturing,2019,M04,2019 Apr,3
LNU04032232,Manufacturing,2019,M05,2019 May,2.3
LNU04032232,Manufacturing,2019,M06,2019 Jun,2.8
LNU04032232,Manufacturing,2019,M07,2019 Jul,3
LNU04032232,Manufacturing,2019,M08,2019 Aug,3.2
LNU04032232,Manufacturing,2019,M09,2019 Sep,3.4
LNU04032232,Manufacturing,2019,M10,2019 Oct,3.1
LNU04032232,Manufacturing,2019,M11,2019 Nov,2.7
LNU04032232,Manufacturing,2019,M12,2019 Dec,2.7
LNU04032232,Manufacturing,2020,M01,2020 Jan,3.4
LNU04032232,Manufacturing,2020,M02,2020 Feb,3.9
LNU04032232,Manufacturing,2020,M03,2020 Mar,4.1
LNU04032232,Manufacturing,2020,M04,2020 Apr,13.2
LNU04032232,Manufacturing,2020,M05,2020 May,11.6
LNU04032232,Manufacturing,2020,M06,2020 Jun,9.1
LNU04032232,Manufacturing,2020,M07,2020 Jul,8.6
LNU04032232,Manufacturing,2020,M08,2020 Aug,6.7
LNU04032232,Manufacturing,2020,M09,2020 Sep,6.2
LNU04032232,Manufacturing,2020,M10,2020 Oct,5.2
LNU04032232,Manufacturing,2020,M11,2020 Nov,4.7
LNU04032232,Manufacturing,2020,M12,2020 Dec,4.3
LNU04032232,Manufacturing,2021,M01,2021 Jan,4.7
LNU04032232,Manufacturing,2021,M02,2021 Feb,4.8
LNU04032232,Manufacturing,2021,M03,2021 Mar,5.2
LNU04032232,Manufacturing,2021,M04,2021 Apr,5.8
LNU04032232,Manufacturing,2021,M05,2021 May,4.8
LNU04032232,Manufacturing,2021,M06,2021 Jun,5.4
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M01,2018 Jan,4.1
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M02,2018 Feb,6.6
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M03,2018 Mar,6.9
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M04,2018 Apr,4.7
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M05,2018 May,3
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M06,2018 Jun,2.9
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M07,2018 Jul,3.4
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M08,2018 Aug,1.9
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M09,2018 Sep,1.7
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M10,2018 Oct,1.7
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M11,2018 Nov,1.9
LNU04032230,"Mining, Quarrying, Oil and Gas",2018,M12,2018 Dec,2.6
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M01,2019 Jan,5.3
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M02,2019 Feb,3.6
